 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.171675  0.231933  0.232211  0.263348  0.308456  0.308954 0.348967
 2  0.0319506  0.170386  0.231974  0.233757  0.258536  0.308633  0.311692 0.347611
 3  0.0630929  0.166937  0.231922  0.235989  0.249043  0.308827  0.317218 0.344144
 4  0.0924518  0.161747  0.227389  0.231856  0.24914  0.309057  0.321318 0.340361
 5  0.118574  0.153812  0.21512  0.231799  0.253826  0.309244  0.322079 0.33855
 6  0.136729  0.142785  0.20978  0.231779  0.255935  0.309319  0.32159 0.33836
 7  0.138206  0.142978  0.206618  0.234051  0.255618  0.309746  0.321568 0.337618
 8  0.142453  0.143547  0.199307  0.238657  0.254705  0.310976  0.321447 0.335641
 9  0.144402  0.149144  0.190047  0.243335  0.253311  0.312845  0.32101 0.333148
 10  0.145411  0.157757  0.179706  0.247197  0.251588  0.315114  0.319854 0.331177
 11  0.146025  0.167255  0.169535  0.249597  0.249919  0.317358  0.317938 0.33052
 12  0.134359  0.156699  0.191131  0.246085  0.250598  0.312863  0.321781 0.332524
 13  0.105495  0.160509  0.212662  0.243494  0.246463  0.310123  0.322451 0.337165
 14  0.0722794  0.165707  0.228135  0.240015  0.246078  0.308984  0.318854 0.342661
 15  0.0367159  0.169978  0.231752  0.23443  0.257146  0.308565  0.312606 0.347186
 16  0  0.171675  0.231933  0.232211  0.263348  0.308456  0.308954 0.348967
