 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.166217  0.166269  0.20512  0.210646  0.210787  0.287254 0.315167
 2  0.0209798  0.161636  0.165261  0.20768  0.211725  0.212685  0.285155 0.315882
 3  0.041494  0.151177  0.162906  0.206695  0.217764  0.220447  0.279587 0.307879
 4  0.0609234  0.138421  0.160362  0.204297  0.224553  0.231642  0.272214 0.296131
 5  0.077876  0.125473  0.158516  0.20234  0.231197  0.241931  0.265132 0.285751
 6  0.0865279  0.118171  0.157852  0.201599  0.234395  0.246852  0.261776 0.280831
 7  0.0869506  0.11881  0.155984  0.203331  0.233831  0.246026  0.2625 0.281435
 8  0.0881477  0.120684  0.151148  0.207772  0.232246  0.243953  0.264272 0.283147
 9  0.0898836  0.123671  0.144749  0.213556  0.229898  0.241328  0.266403 0.285722
 10  0.0916691  0.127582  0.138009  0.219485  0.227084  0.238809  0.268274 0.288887
 11  0.0925713  0.132175  0.132192  0.223999  0.224096  0.237531  0.2691 0.292184
 12  0.0863745  0.128896  0.142453  0.218211  0.223272  0.241866  0.266138 0.291021
 13  0.0693058  0.136704  0.152413  0.213739  0.217851  0.238356  0.268549 0.297449
 14  0.0476605  0.14863  0.160213  0.211284  0.212906  0.225997  0.277294 0.307124
 15  0.0241965  0.160393  0.164818  0.208744  0.210628  0.214391  0.284491 0.318382
 16  0  0.166217  0.166269  0.20512  0.210646  0.210787  0.287254 0.326652
