freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.188351, 0.256464, 0.257014, 0.337254, 0.337777, 0.346066
freqs:, 2, 0, 0.1, 0, 0.11547, 0.0311299, 0.0424016, 0.186017, 0.256139, 0.258476, 0.329404, 0.337658, 0.35458
freqs:, 3, 0, 0.2, 0, 0.23094, 0.0610649, 0.082439, 0.17953, 0.255016, 0.262316, 0.319033, 0.338348, 0.365985
freqs:, 4, 0, 0.3, 0, 0.34641, 0.0885582, 0.117037, 0.169785, 0.253633, 0.266612, 0.310433, 0.33918, 0.376899
freqs:, 5, 0, 0.4, 0, 0.46188, 0.111938, 0.1417, 0.157695, 0.252531, 0.269697, 0.304853, 0.339836, 0.386256
freqs:, 6, 0, 0.5, 0, 0.57735, 0.124579, 0.14896, 0.150907, 0.252114, 0.270762, 0.302958, 0.340082, 0.364694
freqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.125288, 0.148903, 0.15188, 0.250522, 0.272515, 0.302324, 0.340176, 0.364929
freqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.127374, 0.148562, 0.15451, 0.247131, 0.276486, 0.3005, 0.340414, 0.365623
freqs:, 9, -0.2, 0.4, 0, 0.61101, 0.130717, 0.147463, 0.157992, 0.243755, 0.281125, 0.297687, 0.340697, 0.366716
freqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.135139, 0.14496, 0.161134, 0.241414, 0.285754, 0.29413, 0.340926, 0.368119
freqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.140405, 0.140474, 0.162557, 0.240613, 0.29003, 0.290164, 0.341032, 0.369718
freqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.124445, 0.152677, 0.154841, 0.243322, 0.281373, 0.298068, 0.340616, 0.370057
freqs:, 13, -0.2, 0.2, 0, 0.4, 0.10015, 0.130962, 0.165472, 0.24887, 0.272568, 0.306189, 0.3397, 0.375657
freqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.0698953, 0.0938207, 0.176987, 0.253462, 0.264777, 0.316005, 0.338565, 0.377406
freqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0358693, 0.0486944, 0.185268, 0.25582, 0.25914, 0.327821, 0.337622, 0.378267
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.188351, 0.256464, 0.257014, 0.337254, 0.337778, 0.37851
