 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.162028  0.163686  0.163686  0.182326  0.256751  0.286305 0.286305
 2  0.0188092  0.15251  0.163878  0.168545  0.187028  0.256195  0.277139 0.286442
 3  0.0371471  0.140178  0.164385  0.170842  0.197118  0.254779  0.26623 0.28677
 4  0.0544114  0.127233  0.165023  0.172332  0.208558  0.253091  0.25495 0.287124
 5  0.069275  0.115033  0.165548  0.173363  0.220248  0.243497  0.251768 0.287375
 6  0.0766173  0.108594  0.16575  0.173744  0.231699  0.232141  0.251271 0.287465
 7  0.0779972  0.109947  0.157502  0.182045  0.231733  0.23217  0.249798 0.279471
 8  0.0818959  0.113529  0.146533  0.193201  0.231824  0.232242  0.246017 0.268751
 9  0.0875985  0.118056  0.136052  0.204103  0.231944  0.232306  0.241415 0.258213
 10  0.0936723  0.121824  0.127277  0.213677  0.232059  0.232268  0.237676 0.248964
 11  0.0967839  0.123295  0.123296  0.218379  0.232116  0.232118  0.236223 0.244512
 12  0.0900994  0.125374  0.126675  0.211091  0.225165  0.238982  0.239425 0.251164
 13  0.0736611  0.131272  0.13451  0.199556  0.213966  0.245322  0.250979 0.261357
 14  0.0516188  0.140142  0.144913  0.187448  0.201861  0.251642  0.26301 0.27148
 15  0.0264915  0.150954  0.156404  0.175162  0.189743  0.25555  0.275044 0.280844
 16  0  0.162028  0.163686  0.163686  0.182326  0.256751  0.286305 0.286305
