 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.172123  0.23331  0.23331  0.282262  0.337005  0.343342 0.355006
 2  0.0238569  0.1704  0.233384  0.234742  0.282351  0.334583  0.343131 0.354898
 3  0.0465504  0.165637  0.233577  0.238608  0.282564  0.328249  0.342565 0.354414
 4  0.0666211  0.15888  0.233817  0.243831  0.282784  0.320127  0.341874 0.353674
 5  0.0816994  0.152068  0.234012  0.248706  0.282882  0.31302  0.341325 0.353013
 6  0.0876996  0.148876  0.234086  0.250819  0.282882  0.310107  0.341124 0.352748
 7  0.0912996  0.148978  0.233778  0.249265  0.283104  0.310579  0.341312 0.352894
 8  0.100611  0.149252  0.232976  0.244932  0.283656  0.311906  0.341803 0.353253
 9  0.112165  0.149593  0.232007  0.238914  0.284291  0.313773  0.342444 0.353709
 10  0.121838  0.149871  0.231241  0.233316  0.28477  0.31554  0.343003 0.354098
 11  0.125677  0.149976  0.230947  0.230956  0.28495  0.316305  0.34325 0.354256
 12  0.117581  0.150481  0.231195  0.235449  0.284603  0.31511  0.343831 0.344368
 13  0.0956401  0.154612  0.231808  0.241769  0.283809  0.315562  0.344266 0.347315
 14  0.0663474  0.161732  0.232538  0.241354  0.282991  0.322482  0.343784 0.350948
 15  0.0338086  0.168898  0.233104  0.236231  0.282448  0.33231  0.343279 0.35389
 16  0  0.172123  0.23331  0.23331  0.282262  0.337005  0.343342 0.355007
